Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-45.62827,146.4968,-29.11008,-15.06049,131.331,-15.91489,2.716937,127.2653,-11.91656,56.77723,-88.15424,-4.837006,53.87457,94.41257,-178.4972,-12.35928,89.57557,-177.4149,62.03444,-71.59766,9.976176,43.23798,92.98685,172.6739,-38.69879,100.6253,174.084,0.5647059,0.6901961,0.7686275,0.9176471
-45.33749,147.4177,-29.35562,-14.99149,132.1915,-16.17868,2.616031,128.0776,-12.17438,59.68815,-88.42896,-4.700684,46.80722,93.64547,-178.9082,-22.93808,88.83974,-177.0116,66.63782,-69.26373,12.13105,32.74989,94.52303,173.635,-55.52551,103.5295,172.1429,0.5607843,0.7254902,0.8196079,0.9098039
-46.1554,145.1319,-28.68967,-17.18497,130.6439,-15.61789,-0.9169617,126.9849,-11.4837,62.81461,-88.73157,-4.565887,39.23996,92.96797,-179.2061,-34.27264,87.88,-176.3972,70.77425,-66.28955,14.92018,23.12402,95.661,174.1861,-70.7793,109.6141,166.8755,0.5215687,0.7764706,0.8901961,0.945098
-46.42029,144.1496,-28.42328,-16.71222,129.582,-15.30457,0.1924098,125.8886,-11.21411,65.8868,-89.04028,-4.448181,31.83376,92.39229,-179.4094,-45.37103,86.63223,-175.4807,74.45643,-62.3656,18.65652,14.34533,96.57658,174.5065,-83.72363,138.8174,138.3898,0.5411765,0.8196079,0.9411765,0.9529412
-45.76895,145.7025,-28.94501,-13.20477,130.0466,-15.62228,6.381088,125.6863,-11.79938,66.64602,-89.11899,-4.421906,30.00861,92.25966,-179.4498,-48.10611,86.24895,-175.1784,75.8682,-60.32111,20.62216,10.90539,96.91652,174.5948,-85.80566,-161.6473,79.13292,0.6117647,0.8313726,0.9647059,0.9294118
-43.47656,150.6382,-30.54605,-7.498016,133.0284,-17.19379,15.48436,127.1573,-14.04446,66.646,-89.11902,-4.421906,30.00862,92.25967,-179.4498,-48.10611,86.24895,-175.1784,75.86821,-60.32114,20.62215,10.90539,96.91653,174.5948,-85.80566,-161.6474,79.133,0.7098039,0.8313726,0.9647059,0.8509804
-41.00269,155.1559,-31.9169,-3.476898,136.1401,-18.88052,21.16244,128.8635,-16.45602,66.64601,-89.11899,-4.421906,30.00862,92.25966,-179.4498,-48.10608,86.24895,-175.1784,75.40187,-61.0408,19.92898,12.04735,96.80452,174.5676,-85.74045,173.417,103.9763,0.772549,0.8313726,0.9568627,0.7647059
-38.8775,158.3508,-32.90524,-0.1158752,138.1708,-20.29007,25.82969,129.5106,-18.69684,66.89828,-89.14539,-4.413452,29.40264,92.21627,-179.4625,-49.0141,86.11265,-175.069,75.16707,-61.38571,19.59725,12.62009,96.74805,174.5532,-85.42603,162.2281,115.1188,0.8117647,0.8352941,0.9529412,0.7098039
-38.47,158.9261,-33.07849,0.4799229,138.54,-20.5585,26.62618,129.61,-19.13614,67.15012,-89.17181,-4.405121,28.7979,92.17329,-179.4749,-49.92023,85.97162,-174.9547,75.40183,-61.0408,19.929,12.04735,96.80452,174.5676,-85.74045,173.417,103.9762,0.8196079,0.8392157,0.9568627,0.6980392
-37.21335,160.5417,-33.60352,2.401146,139.4701,-21.39996,29.2391,129.6053,-20.5943,67.4016,-89.19843,-4.397003,28.19434,92.1307,-179.4868,-50.82449,85.82554,-174.8354,75.40187,-61.0408,19.92899,12.04735,96.80453,174.5676,-85.74036,173.4169,103.9763,0.8470588,0.8431373,0.9568627,0.6627451
-35.80737,162.3267,-34.13147,4.2967,140.5899,-22.32709,31.6492,129.7198,-22.21008,67.90335,-89.25186,-4.381195,26.99089,92.04661,-179.5098,-52.62729,85.51678,-174.5799,74.93124,-61.72131,19.27476,13.19402,96.69123,174.5382,-84.96194,152.7577,124.5427,0.8745098,0.854902,0.9490196,0.6196079
-35.36093,162.7791,-34.31638,5.017412,140.7593,-22.64624,32.64392,129.4611,-22.83325,68.90185,-89.35999,-4.351776,24.59882,91.88248,-179.5519,-56.20938,84.82115,-173.99,73.97758,-62.97659,18.07129,15.50127,96.46043,174.4724,-82.23676,129.7581,147.3554,0.8823529,0.8666667,0.9333333,0.6117647
-35.51016,162.6293,-34.25455,4.777632,140.7043,-22.53903,32.31386,129.5509,-22.62286,70.87903,-89.58264,-4.302551,19.87469,91.5684,-179.623,-63.27386,82.97769,-172.3553,75.63557,-60.68607,20.27052,11.47577,96.86066,174.5815,-85.87222,-174.1984,91.63782,0.8784314,0.9019608,0.9607843,0.6196079
-35.94052,162.1207,-34.09418,4.184196,140.4115,-22.24954,31.55326,129.5954,-22.09604,73.79402,-89.93909,-4.259064,12.94192,91.12537,-179.7025,-73.57129,77.70816,-167.393,77.90826,-56.49503,24.32602,5.825578,97.40704,174.692,-80.23431,-106.7643,24.66138,0.8705882,0.945098,1,0.627451
